What could have happened before they chose?	events whose start time is smaller than the start time of they chose? </s>	events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chose? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose? or whose start time is larger than the end time of they chose?	Events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chosen?	events whose start time is smaller than the start time of they chose? ; and events whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chosen? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, whose start time is larger than the end time of they chose?
What could have happened after the votes were provided?	events whose start time is larger than the start time of the votes were provided? </s>	events whose start time is larger than the start time of the votes were provided?	Events whose start time is larger than the start time of the votes were provided?	activities whose start time is larger than the start time of the votes were provided?	things whose start time is larger than the start time of the votes were provided?	events whose start time is bigger than the start time of the votes were provided?	events whose start time is larger than the start time of the voters were provided?	events whose start time is larger than the start time of the votes were provisioned?	what events whose start time is larger than the start time of the votes were provided?	actions whose start time is larger than the start time of the votes were provided?	événements whose start time is larger than the start time of the votes were provided?
What happened while Catholics marched?	events whose start time is larger than the start time of Catholics marched? and whose start time is smaller than the end time of Catholics marched? </s>	events whose start time is larger than the start time of Catholics marched? and whose start time is smaller than the end time of Catholics marched?	events whose start time is larger than the start time of Catholics marched?	events whose start time is larger than the start time of Catholics march? and whose start time is smaller than the end time of Catholics march?	activities whose start time is larger than the start time of Catholics marched? and whose start time is smaller than the end time of Catholics marched?	events whose start time is larger than the start time of Catholics march? and whose start time is smaller than the end time of Catholics marched?	Events whose start time is larger than the start time of Catholics marched? and whose start time is smaller than the end time of Catholics marched?	events whose start time is larger than the start time of Catholics marched? and whose start time is smaller than the end time of Catholics march?	actions whose start time is larger than the start time of Catholics marched? and whose start time is smaller than the end time of Catholics marched?	events whose start time is larger than the start time of Catholics marched?, and whose start time is smaller than the end time of Catholics marched?	event whose start time is larger than the start time of Catholics marched? and whose start time is smaller than the end time of Catholics marched?
What happened while the sites were inspected?	events whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected? </s>	events whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?	activities whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?	Events whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?	actions whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?	things whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?	events whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were surveyed?	événements whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?	what events whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?	events whose start time is larger than the start time of the sites were surveyed? and whose start time is smaller than the end time of the sites were surveyed?	event whose start time is larger than the start time of the sites were inspected? and whose start time is smaller than the end time of the sites were inspected?
What happened while something was said?	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was said? </s>	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said?	events whose start time is larger than the start time of something was spoken? and whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was spoken?	events whose start time is larger than the start time of something was spoken? and whose start time is smaller than the end time of something was spoken?	events whose start time is larger than the start time of something was said?, and whose start time is smaller than the end time of something was said?	activities whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said? or whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was talked about?	events whose start time is larger than the start time of something was spoken?
What happened while something was said?	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was said? </s>	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said?	events whose start time is larger than the start time of something was spoken? and whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was spoken?	events whose start time is larger than the start time of something was spoken? and whose start time is smaller than the end time of something was spoken?	events whose start time is larger than the start time of something was said?, and whose start time is smaller than the end time of something was said?	activities whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said? or whose start time is smaller than the end time of something was said?	events whose start time is larger than the start time of something was said? and whose start time is smaller than the end time of something was talked about?	events whose start time is larger than the start time of something was spoken?
What happened while something grew?	events whose start time is larger than the start time of something grew? and whose start time is smaller than the end time of something grew? </s>	events whose start time is larger than the start time of something grew? and whose start time is smaller than the end time of something grew?	events whose start time is larger than the start time of something grew?	activities whose start time is larger than the start time of something grew? and whose start time is smaller than the end time of something grew?	Events whose start time is larger than the start time of something grew? and whose start time is smaller than the end time of something grew?	events whose start time is larger than the start time of something grew?, and whose start time is smaller than the end time of something grew?	events whose start time is larger than the start time of something grew? or whose start time is smaller than the end time of something grew?	actions whose start time is larger than the start time of something grew? and whose start time is smaller than the end time of something grew?	events whose start time is larger than the start time of something grew?, and whose start time is smaller than the end time of something grew?	events whose start time is larger than the start time of something-grew? and whose start time is smaller than the end time of something-grew?	events whose start time is smaller than the start time of something grew? and whose start time is larger than the end time of something grew?
What was completed after $1.6 billion flowed out of junk funds?	events whose end time is larger than the start time of $1.6 billion flowed out of junk funds? </s>	events whose start time is larger than the start time of $1.6 billion flowed out of junk funds?	events whose start time is larger than the start time of $1.6 billion flown out of junk funds?	events whose start time is larger than the start time of $1.6 billion flowed out of junk funds? and whose start time is smaller than the end time of $1.6 billion flowed out of junk funds?	activities whose start time is larger than the start time of $1.6 billion flowed out of junk funds?	events whose start time is larger than the start time of $1.6 billion flown out of junk funds? and whose start time is smaller than the end time of $1.6 billion flown out of junk funds?	events whose start time is larger than the start time of $1.6 billion flowed out of junk funds?, and whose start time is smaller than the end time of $1.6 billion flowed out of junk funds?	activities whose start time is larger than the start time of $1.6 billion flown out of junk funds?	events whose start time is larger than the start time of $1.6 billion flowed out of junk funds? or whose start time is smaller than the end time of $1.6 billion flowed out of junk funds?	events whose start time is larger than the start time of $1.6 billion flowed out of junk funds? (e.g., events whose start time is smaller than the end time of $1.6 billion flowed out of junk funds?	events whose start time is larger than the start time of $1.6 billion flowed out of junk funds? (e.g., whose start time is smaller than the end time of $1.6 billion flowed out of junk funds?
What was completed before $1.6 billion flowed out of junk funds?	events whose end time is smaller than the start time of $1.6 billion flowed out of junk funds? </s>	events whose start time is smaller than the start time of $1.6 billion flowed out of junk funds?	events whose start time is smaller than the start time of $1.6 billion flown out of junk funds?	events whose start time is smaller than the start time of $1.6 billion flowed out of junk funds? and whose start time is larger than the end time of $1.6 billion flowed out of junk funds?	events whose start time is smaller than the start time of $1.6 billion flown out of junk funds? and whose start time is larger than the end time of $1.6 billion flown out of junk funds?	events whose start time is smaller than the start time of $1.6 billion flowed out of junk funds? and whose start time is smaller than the end time of $1.6 billion flowed out of junk funds?	activities whose start time is smaller than the start time of $1.6 billion flowed out of junk funds? and whose start time is larger than the end time of $1.6 billion flowed out of junk funds?	activities whose start time is smaller than the start time of $1.6 billion flowed out of junk funds?	events whose start time is smaller than the start time of $1.6 billion flowed out of junk funds? or whose start time is larger than the end time of $1.6 billion flowed out of junk funds?	events whose start time is smaller than the start time of $1.6 billion flowed out of junk funds? ; and whose start time is larger than the end time of $1.6 billion flowed out of junk funds?	events whose start time is smaller than the start time of $1.6 billion flown out of junk funds? and whose start time is smaller than the end time of $1.6 billion flown out of junk funds?
What was completed after the undermining of a pillar of support?	events whose end time is larger than the start time of the undermining of a pillar of support? </s>	events whose start time is larger than the start time of the undermining of a pillar of support?	events whose start time is larger than the start time of the undermining of a pillar of support? and whose start time is smaller than the end time of the undermining of a pillar of support?	events whose start time is larger than the start time of the undermining of a pillar of support?, and whose start time is smaller than the end time of the undermining of a pillar of support?	activities whose start time is larger than the start time of the undermining of a pillar of support?	events whose start time is larger than the start time of the undermining of a pillar of support (or whose start time is smaller than the end time of the undermining of a pillar of support)?	completion of events whose start time is larger than the start time of the undermining of a pillar of support?	events whose start time is larger than the start time of the undermining of a pillar of support (or whose start time is smaller than the end time of the undermining of a pillar of support?	events whose start time is larger than the start time of the undermining of a pillar of support? is larger than the start time of the undermining of a pillar of support?	events whose end time is larger than the start time of the undermining of a pillar of support?	items whose start time is larger than the start time of the undermining of a pillar of support?
What happened while the junk market was reeling?	events whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market was reeling? </s>	events whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market was reeling?	events whose start time is larger than the start time of the junk market was reeling?	activities whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market was reeling?	Events whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market was reeling?	events whose start time is larger than the start time of the Junk Market was Reeling? and whose start time is smaller than the end time of the Junk Market was Reeling?	actions whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market was reeling?	things whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market was reeling?	events whose start time is larger than the start time of the junk market was reeling?and whose start time is smaller than the end time of the junk market was reeling?	events whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market is reeling?	événements whose start time is larger than the start time of the junk market was reeling? and whose start time is smaller than the end time of the junk market was reeling?
